04:31:37 INFO  manager.ApplicationManager - Tests start on Firefox
04:31:41 INFO  tests.TestBase - Method registrationNegativeLastNameBlank is started
04:31:41 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:31:46 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank started
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:31:46 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:31:46 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:31:47 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[contains(text(),'failed')]
04:31:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[contains(text(),'failed')] is found
04:31:48 INFO  manager.TestNgListener - Test registrationNegativeLastNameBlank successful
04:31:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:31:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:31:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:31:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:31:48 INFO  tests.TestBase - ================================================================
04:31:48 INFO  tests.TestBase - Method registrationNegativeNameBlank is started
04:31:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:31:53 INFO  manager.TestNgListener - Test registrationNegativeNameBlank started
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:31:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:31:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:31:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //h1[contains(text(),'failed')]
04:31:54 INFO  manager.WdListener - Element with locator ---> By.xpath: //h1[contains(text(),'failed')] is found
04:31:54 INFO  manager.TestNgListener - Test registrationNegativeNameBlank successful
04:31:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:31:54 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:31:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:31:54 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:31:54 INFO  tests.TestBase - ================================================================
04:31:54 INFO  tests.TestBase - Method registrationNegativeWrongEmail is started
04:31:54 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:31:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:31:59 INFO  manager.TestNgListener - Test registrationNegativeWrongEmail started
04:31:59 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
04:31:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
04:31:59 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
04:31:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
04:31:59 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
04:31:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
04:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:32:00 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:32:00 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:32:00 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.='Wrong email format']
04:32:00 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.='Wrong email format'] is found
04:32:00 INFO  manager.TestNgListener - Test registrationNegativeWrongEmail successful
04:32:00 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:05 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:05 INFO  tests.TestBase - ================================================================
04:32:05 INFO  tests.TestBase - Method registrationNegativeWrongPassword is started
04:32:05 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:10 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword started
04:32:10 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
04:32:10 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
04:32:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
04:32:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
04:32:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
04:32:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
04:32:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:32:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:32:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:32:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:32:11 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:32:11 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:32:12 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[contains(text(),'Password must')]
04:32:12 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[contains(text(),'Password must')] is found
04:32:12 INFO  manager.TestNgListener - Test registrationNegativeWrongPassword successful
04:32:12 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:17 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:17 INFO  tests.TestBase - ================================================================
04:32:17 INFO  tests.TestBase - Method registrationPositive is started
04:32:17 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:22 INFO  manager.TestNgListener - Test registrationPositive started
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Sign up ']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Sign up '] is found
04:32:22 INFO  tests.TestBase - openRegistrationForm invoked
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='name']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='name'] is found
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='lastName']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='email']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='email'] is found
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //input[@id='password']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //input[@id='password'] is found
04:32:22 INFO  tests.TestBase - fillRegistrationForm invoked
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
04:32:22 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
04:32:22 INFO  tests.TestBase - submitButton invoked
04:32:22 INFO  tests.TestBase - registrationPositive starts with credentials : vova1942@mail.com Volk1234$
04:32:22 INFO  manager.WdListener - Start searching element ---> By.xpath: //h2[contains(text(),'success')]
04:32:23 INFO  manager.WdListener - Element with locator ---> By.xpath: //h2[contains(text(),'success')] is found
04:32:23 INFO  manager.TestNgListener - Test registrationPositive successful
04:32:23 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:23 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:23 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:23 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:23 INFO  manager.WdListener - Something went wrong!
04:32:23 INFO  manager.WdListener - TypeError: document.querySelector(...) is null
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-0SQU6JC', ip: '192.168.43.58', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_333'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 115.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230710165010, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 7716, moz:profile: C:\Users\joker\AppData\Loca..., moz:shutdownTimeout: 60000, moz:useNonSpecCompliantPointerOrigin: false, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 4427ae5b-c41e-43c3-8c40-ae0414f5c55a
04:32:23 INFO  manager.WdListener - org.openqa.selenium.JavascriptException: TypeError: document.querySelector(...) is null
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'DESKTOP-0SQU6JC', ip: '192.168.43.58', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_333'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 115.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:buildID: 20230710165010, moz:geckodriverVersion: 0.33.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 7716, moz:profile: C:\Users\joker\AppData\Loca..., moz:shutdownTimeout: 60000, moz:useNonSpecCompliantPointerOrigin: false, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: 4427ae5b-c41e-43c3-8c40-ae0414f5c55a
04:32:23 INFO  manager.WdListener - This is a link to screenshot with error ---> src/test/screenshots/screen-1943.png
04:32:23 INFO  tests.TestBase - ================================================================
04:32:23 INFO  tests.TestBase - Method registrationPositiveDTO is started
04:32:23 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:23 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:23 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:23 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:23 INFO  manager.TestNgListener - Test registrationPositiveDTO started
04:32:23 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:28 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:28 INFO  tests.TestBase - ================================================================
04:32:28 INFO  tests.TestBase - Method registrationPositiveDTO is started
04:32:28 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:33 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:33 INFO  manager.TestNgListener - Test registrationPositiveDTO started
04:32:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:38 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:38 INFO  tests.TestBase - ================================================================
04:32:38 INFO  tests.TestBase - Method registrationPositiveDTO is started
04:32:38 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:43 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:43 INFO  manager.TestNgListener - Test registrationPositiveDTO started
04:32:43 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:48 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:48 INFO  tests.TestBase - ================================================================
04:32:48 INFO  tests.TestBase - Method registrationPositiveDTO is started
04:32:48 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:32:53 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:32:53 INFO  manager.TestNgListener - Test registrationPositiveDTO started
04:32:53 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:32:59 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:32:59 INFO  tests.TestBase - ================================================================
04:32:59 INFO  tests.TestBase - Method registrationPositiveDTO is started
04:32:59 INFO  manager.WdListener - Start searching element ---> By.xpath: //a[.=' Logout ']
04:33:04 INFO  manager.WdListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
04:33:04 INFO  manager.TestNgListener - Test registrationPositiveDTO started
04:33:04 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[.='Ok']
04:33:09 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[.='Ok'] is found
04:33:09 INFO  tests.TestBase - ================================================================
