21:35:29 INFO  manager.ApplicationManager - Tests start on Chrome
21:35:31 INFO  tests.TestBase - Method searchPositiveTest is started
21:35:31 INFO  manager.WdListener - Start searching element ---> By.id: city
21:35:31 INFO  manager.WdListener - Element with locator ---> By.id: city is found
21:35:31 INFO  manager.WdListener - Start searching element ---> By.cssSelector: div.pac-item
21:35:32 INFO  manager.WdListener - Element with locator ---> By.cssSelector: div.pac-item is found
21:35:32 INFO  manager.WdListener - Start searching element ---> By.id: dates
21:35:32 INFO  manager.WdListener - Element with locator ---> By.id: dates is found
21:35:33 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 17 ']
21:35:33 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 17 '] is found
21:35:34 INFO  manager.WdListener - Start searching element ---> By.xpath: //div[.=' 23 ']
21:35:34 INFO  manager.WdListener - Element with locator ---> By.xpath: //div[.=' 23 '] is found
21:35:37 INFO  manager.WdListener - Start searching element ---> By.xpath: //button[@type='submit']
21:35:37 INFO  manager.WdListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
21:35:37 INFO  tests.TestBase - ================================================================
